,date_and_time,developer,system_name,workflow,n_subflows,min_sleep,max_sleep,Wall clock time,Sum of sleep times,n_threads,n_processes,n_parallelism,runner,workflow_orchestration_framework,backend_database,workflow_type,total_memory
0,2025-04-14T21:03:14.919056,amcnicho,akaogiite,task_scaling_test,1000,0.03,0.3,8.497658252716064,39.05638729628453,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:03:31.745439,amcnicho,akaogiite,task_scaling_test,2000,0.03,0.3,16.663729190826416,537.1999807921179,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:04:05.112447,amcnicho,akaogiite,task_scaling_test,4000,0.03,0.3,33.19050598144531,312.87844747377534,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:05:11.401748,amcnicho,akaogiite,task_scaling_test,8000,0.03,0.3,66.09216117858887,444.913387343629,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:07:23.808593,amcnicho,akaogiite,task_scaling_test,16000,0.03,0.3,132.24229502677917,2298.6904830102776,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:11:47.109653,amcnicho,akaogiite,task_scaling_test,32000,0.03,0.3,263.13130283355713,6290.982942416913,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:20:38.303062,amcnicho,akaogiite,task_scaling_test,64000,0.03,0.3,531.0121901035309,11413.992465898094,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:31:39.858866,amcnicho,akaogiite,task_scaling_test,80000,0.03,0.3,661.3837971687317,6780.660430325778,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:49:05.894057,amcnicho,akaogiite,task_scaling_test,128000,0.03,0.3,1045.7046129703522,25170.003136275176,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:49:14.875496,amcnicho,akaogiite,task_scaling_test,1000,0.03,0.3,8.506934881210327,81.15067321899419,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:49:31.802339,amcnicho,akaogiite,task_scaling_test,2000,0.03,0.3,16.727710008621216,241.1500029792828,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:50:05.355269,amcnicho,akaogiite,task_scaling_test,4000,0.03,0.3,33.36483097076416,560.9170500290802,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:51:12.399454,amcnicho,akaogiite,task_scaling_test,8000,0.03,0.3,66.86627507209778,1259.1606496587672,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:53:25.063603,amcnicho,akaogiite,task_scaling_test,16000,0.03,0.3,132.45963597297668,1141.2808323059996,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T21:57:50.559006,amcnicho,akaogiite,task_scaling_test,32000,0.03,0.3,265.3067829608917,3259.865785341184,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T22:06:42.466043,amcnicho,akaogiite,task_scaling_test,64000,0.03,0.3,531.7202851772308,14757.437530098148,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T22:17:47.532695,amcnicho,akaogiite,task_scaling_test,80000,0.03,0.3,663.896625995636,12795.597141386857,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T22:35:31.761162,amcnicho,akaogiite,task_scaling_test,128000,0.03,0.3,1064.0366477966309,32880.88088575794,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T07:58:00.959515,amcnicho,akaogiite,flow_scaling_test,30,0.1,1.0,1.3454599380493164,14.558975624539334,1,12,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-15T07:59:35.152652,amcnicho,akaogiite,flow_scaling_test,100,0.1,1.0,6.445080041885376,55.96614833819327,1,12,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-15T08:03:49.044842,amcnicho,akaogiite,flow_scaling_test,300,0.1,1.0,26.524386882781982,161.95222529344474,1,12,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-15T08:18:16.035745,amcnicho,akaogiite,flow_scaling_test,1000,0.1,1.0,75.26480889320374,549.4723004880775,1,12,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-15T08:18:30.223480,amcnicho,akaogiite,task_scaling_test,1000,0.1,1.0,9.036464929580688,158.4289085850543,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T08:18:48.389252,amcnicho,akaogiite,task_scaling_test,2000,0.1,1.0,18.00565195083618,1730.255702512641,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T08:19:23.159379,amcnicho,akaogiite,task_scaling_test,4000,0.1,1.0,34.61783289909363,2794.6290770214937,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T08:20:32.400808,amcnicho,akaogiite,task_scaling_test,8000,0.1,1.0,68.61569499969482,7327.946511876191,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T08:22:49.361190,amcnicho,akaogiite,task_scaling_test,16000,0.1,1.0,136.46713495254517,8340.755760622387,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T08:27:22.089412,amcnicho,akaogiite,task_scaling_test,32000,0.1,1.0,272.55348467826843,9968.171369405647,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T08:36:23.089666,amcnicho,akaogiite,task_scaling_test,64000,0.1,1.0,540.8142311573029,6469.8074010482915,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T08:47:36.454988,amcnicho,akaogiite,task_scaling_test,80000,0.1,1.0,673.1979410648346,19726.507596490937,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T09:05:37.953737,amcnicho,akaogiite,task_scaling_test,128000,0.1,1.0,1081.3084280490875,20930.703932239347,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T09:05:47.866316,amcnicho,akaogiite,task_scaling_test,1000,0.1,1.0,9.429907083511353,994.0138474570399,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T09:06:05.815680,amcnicho,akaogiite,task_scaling_test,2000,0.1,1.0,17.767518281936646,866.6513981441526,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T09:06:41.019387,amcnicho,akaogiite,task_scaling_test,4000,0.1,1.0,34.99275088310242,2941.7637548503913,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T09:07:49.830621,amcnicho,akaogiite,task_scaling_test,8000,0.1,1.0,68.63392114639282,6470.93908397016,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T09:10:10.271346,amcnicho,akaogiite,task_scaling_test,16000,0.1,1.0,140.24618411064148,10985.051203431829,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T09:14:43.437333,amcnicho,akaogiite,task_scaling_test,32000,0.1,1.0,272.970742225647,30727.101950409546,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T09:23:48.068342,amcnicho,akaogiite,task_scaling_test,64000,0.1,1.0,544.4242351055145,58096.15325321604,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T09:35:11.963768,amcnicho,akaogiite,task_scaling_test,80000,0.1,1.0,683.6788518428802,41498.30750404154,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-15T09:55:09.192635,amcnicho,akaogiite,task_scaling_test,128000,0.1,1.0,1196.6347908973694,87718.85942291915,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
